Q5:Q1,D10:D1,D10:D1-4(Palma),P90:P10_bhc,P80:P20_bhc,P80:P50_bhc,P50:P20_bhc,GINI-BHC,top_10_perc_wealth_share,top_5_perc_wealth_share,top_1_perc_wealth_share,UN_middle_class_def_inc_share,OECD_middle_class_def_inc_share,LIH_B60_contemp_median_AHC,LIH_B50_contemp_median_AHC,LIH_B50_CV_AHC,LIH_B60_CV_AHC,LIH_B40_contemp_median_AHC,LIEH_B60_contemp_median_AHC,LIEH_B50_contemp_median_AHC,LIEH_B50_CV_median_AHC,LIEH_B60_CV_median_AHC,LIS65H_B60_CV_median_AHC,LISPH_B60_CV_median_AHC,LIS65H_B50_CV_median_AHC,LISPH_B50_CV_median_AHC,child_poverty_ahc_perc_HH_B50_CV,child_poverty_ahc_perc_HH_B60_CV,child_poverty_ahc_perc_HH_B40_contemp_median,child_poverty_ahc_perc_HH_B50_contemp_median,child_poverty_ahc_perc_HH_B60_contemp_median,child_poverty_ahc_perc_HH_B60_CV_one_or_more_FT_working_parents,child_poverty_ahc_perc_HH_B60_CV_one_or_more_PT_working_parents,national_house_rental_A30%_income_spend,national_house_purchasing_A30%_income_spend,national_house_rental_HAM,national_house_purchasing_HAM,home_ownership_rate,homelessness_percentage_of_population,priority_A_state_housing_applicants_as_pop_percent,priority_B_state_housing_applicants_as_pop_percent,debt_servicing_as_percent_of_disp_inc,house_median_multiples,unemployment_rate,60_64_years_unemp_rate,65years_and_over_unemp_rate,underemployment_rate,employees_working_long_hours,labour_market_insecurity,long_term_unemployment_rate,pop_15_to_29_NEET,low_pay_percent_OECD_def,low_pay_percent_120percent_MW_def,living_min_wage_gap_magnitude,LIS_ms-16,LP:RPW_ms-16,teriary_education_participation_rate,education_spend_as_percent_of_GDP,education_spend_as_percent_of_total_gov_expenses,median_teriary_loan_as_perc_of_med_inc_AHC,median_teriary_loan_balance_as_perc_of_med_inc_AHC,university_affordability_ratio_to_mean_salary,polytechnics_affordability_ratio_to_mean_salary,wananga_affordability_ratio_to_mean_salary,bachelors_earning_premium_hourly,dips_cert_earning_premium_hourly,school_earning_premium_hourly,bachelors_earning_premium_weekly,dips_cert_earning_premium_weekly,school_earning_premium_weekly,health_expenditure_as_percent_of_gdp,health_expenditure_per_capita_PPP,depression_adult,excellent_very_good_or_good_self_rated_health,psychological_distress_adult,mood_anxiety_disorder_adult,healthy_weight_adult,unmet_after_hours_care_due_to_cost_adult,unmet_GP_care_due_to_cost_adult,veg_and_fruit_intake_adult,breakfast_eaten_at_home_less_5_days_a_week_child,emotional_behavioural_problems_child,adult_diabetes_rates,depression_child,excellent_very_good_or_good_parent_rated_health_child,unfilled_prescription_due_to_cost_child,unmet_need_for_after_hours_due_to_cost_child,unmet_need_for_GP_due_to_cost_child,vegetable_and_fruit_intake_child,healthy_weight_child,suicides_per_100000,problem_gambling_intervention_prevelance_percent,year
5.8,9.59,1.36,???,2.78,1.66,0.6,34.2,-,-,-,19,56.2,19,14,12,16,-,12,6,4,8,2.058823529,3.470588235,1.692307692,3.923076923,17,23,None,20,29,None,None,0.291412487,0.53455646,0.645357772,0.795998119,64.00022454,NAN,0.189426337,0.17637544,9.4,5.301112559,5.4,2.9,1.6,4.1,14.03208924,4.76441288,13.63636376,11.4,13.86467017,NULL,2.046542553,0.542572373,1.059572811,10.2\I,5.2\T,17.3\H,27.84883300816533\U,44.64195389840307\Y,5.959064936999185\H,3.702775588847961\C,0.4748641862326134\J,66.66666666666666\U,31.11111111111112\Y,2.777777777777778\Z,161.4325068870523\N,110.7438016528926\I,5.785123966942149\B,9.4,"3453,3",O15.5,91.4,6.2,G18.6,S33.4,7,14,41.5Z,B8.4,4,G5.4,0.7,Q98.4,3.9,3.9,J5.3,53.4U,E62.6,11.73,0.002797855,31/12/2014 0:00
???,???,???,???,???,???,???,???,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None,None,None,None,None,None,None,None,None,None,None,67.91938273,NAN,NaN,null,9.4,NaN,6.1,4.8,1.7,NULL,null,nan,19.86564299,None,11.73855902,null,None,0.566411227,1,10.1\Y,5.0\D,16.4\E,25.68303400840658\O,39.93121895299962\W,5.559656080630483\G,5.368577686550889\M,3.859013985972417\O,,,,,,,7.5,"1606,3",,,,,,,,,,,,,,,,,,,11.92874374,,31/12/2000 0:00
???,???,???,???,???,???,???,???,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None,None,None,None,None,None,None,None,None,None,None,None,None,nan,nan,None,NAN,4.2,1.3,1.7,nan,null,null,10.56751469,NaN,null,nan,nan,NULL,None,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,13.57167334,,31/12/1987 0:00
???,???,???,???,???,???,???,???,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None,None,None,None,None,None,None,0.304745657,0.373271673,0.673379796,0.761488199,67.27817058,nan,0.022618368,0.337537552,9.1,3.620934173,4.8,3.7,1.2,null,None,NAN,13.60946763,NAN,13.2223601,None,null,0.554726914,1.023312736,12.5\T,5.2\K,17.6\F,24.09006465036784\C,39.2851304153972\T,4.984461828692988\B,3.370603066499685\V,0.4781744069771662\X,,,,,,,7.7,"1852,8",,,,,,,,,,,,,,,,,,,12.3596635,,31/12/2003 0:00
???,???,???,???,???,???,???,???,57,43,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None,None,None,None,None,None,None,0.261400104,0.543070555,0.646628375,0.816000718,66.61411593,0.795522424,0.026258572,0.338374788,12.3,4.695639245,3.9,1.9,1.7,2.8,14.93161991,NaN,7.649513333,10.7,14.61223605,17.9,NAN,0.575006286,0.989086531,13.3\T,6.1\Q,20.1\I,23.57814972104255\T,36.55591639603631\U,5.160616481113521\Z,3.331011556808302\Z,0.5746032019552264\Z,64.2857142857143\B,33.92857142857143\Q,7.142857142857142\B,152.7331189710611\J,92.92604501607717\D,9.003215434083602\H,8.6,"2396,5",,,,,,,,,,,,,,,,,,,12.24880008,0.000884524,31/12/2006 0:00
5.61,9.1,1.36,4.14,2.59,1.62,0.63,33.8,-,-,-,19.6,57.3,20,14,11,15,10,14,7,5,8,2.142857143,3.928571429,2.454545455,3.727272727,14,20,13,19,25,None,None,0.283937945,0.534711985,0.607017201,0.782101127,63.17804024,NaN,0.169722134,0.123602683,8.2,5.797406872,5.1,3,1.2,4.3,15.0208549,4.4,14.14554371,12,11.18821004,NAN,2.233585859,0.556034802,1.032523909,9.4\J,5.2\K,17.8\E,27.80509611086276\N,,6.2\C,3.6\U,0.4\X,55.3213367609255\J,28.43187660668381\D,2.827763496143962\I,160.9756097560976\M,111.6531165311653\C,16.53116531165312\M,,nan,15.4K,87.8C,T6.8,18.8,32,X6.9,14.3E,40.1A,10.3H,4.3,5.8,0.3,97.7O,E3.8,F4.0,Z4.5,48.5,C63.9,12.33,0.002644523,31/12/2016 0:00
???,???,???,???,???,???,???,???,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None,None,None,None,None,None,None,None,None,None,None,None,nan,NULL,NULL,NULL,nan,NAN,nan,null,null,nan,NULL,NaN,None,NAN,nan,None,null,null,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,31/12/1983 0:00
5.33,8.62,1.25,3.93,2.56,1.56,0.61,32.4,54,39,18,20.1,60.1,20,14,12,17,9,13,6,5,10,1.666666667,3.388888889,2.166666667,3.583333333,17,25,12,20,28,29,15,0.282854103,0.56577382,0.663027272,0.819475144,65.4045251,null,0.051343901,0.296577073,10.1,4.77659693,6.1,3,1.5,3.9,13.76879701,5.601137161,8.879184954,13.4,12.72185373,NAN,None,0.556224675,1.03122756,12.2\N,6.0\Y,18.3\Z,24.4140625\B,35.73069852941176\M,5.462299069965385\P,3.920145171817537\S,0.6167547991979276\L,63.78881987577639\F,28.07453416149068\P,5.590062111801233\F,146.9512195121951\N,104.2682926829268\M,4.573170731707317\L,9.7,"3006,4",,,,,,,,,,,,,,,,,,,11.80718974,0.003042499,31/12/2010 0:00
???,???,???,3.11,2.24,1.49,0.67,27.1,-,-,-,22.4,63.7,10,6,9,-,4,6,2,5,-,-,-,1.333333333,1.666666667,12,None,5,8,13,61,5,None,None,None,None,None,NULL,NAN,NaN,null,nan,5.8,2.3,2.3,nan,NaN,nan,13.48464633,None,NAN,nan,NaN,None,None,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,13.92633612,,31/12/1988 0:00
???,???,???,???,???,???,???,???,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None,None,None,None,None,None,None,None,None,None,None,67.46823956,null,0.035938449,0.358194979,9.4,3.300736671,5.3,4,1.7,None,None,NaN,14.76293119,NAN,13.62982548,null,NAN,0.547495509,1.036569721,11.9\U,5.0\V,17.3\W,24.71911832236339\I,37.98561151079137\F,5.235648764126072\G,4.400569236548513\L,0.8853161140067168\A,,,,,,,7.9,"1834,4",,,,,,,,,,,,,,,,,,,11.62591172,,31/12/2002 0:00
